,SRR893051,SRR893073,SRR893053,SRR893063,SRR893047,SRR893074,SRR893057,SRR893070,SRR893050,SRR893072,SRR893049,SRR893065,SRR893048,SRR893054,SRR893056,SRR893046,SRR893066,SRR893068,SRR893069,SRR893067,SRR893055,SRR893071,SRR893058,SRR893061,SRR893064,SRR893059,SRR893060,SRR893052,SRR893062
,pronucleus,morula,zygote,8-cell blastomere,oocyte,morula,4-cell blastomere,8-cell blastomere,pronucleus,morula,pronucleus,8-cell blastomere,oocyte,2-cell blastomere,2-cell blastomere,oocyte,8-cell blastomere,8-cell blastomere,8-cell blastomere,8-cell blastomere,2-cell blastomere,8-cell blastomere,4-cell blastomere,8-cell blastomere,8-cell blastomere,4-cell blastomere,4-cell blastomere,zygote,8-cell blastomere
ENSG00000279110,0,0,0,0,0,0,0,0,0.0559481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000109158,0,0,0,0,0,0.0576041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163395,0.0625014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065103,0,0,0,0,0
ENSG00000154080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675939,0,0,0,0,0,0
ENSG00000255545,0.0705648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000139304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235370,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000180525,0,0,0,0,0,0.0755699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000058673,0,0,0,0.0770566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000134138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773887
ENSG00000112246,0,0,0,0,0,0,0,0,0.0791502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169554,0,0,0,0,0,0.0811576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000127241,0,0,0,0,0,0,0,0,0,0.0837505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000173227,0,0,0,0,0,0.0838812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000156920,0,0,0,0,0,0,0.0847877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856005,0
ENSG00000186439,0,0,0,0,0,0,0,0,0,0,0.0861059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000154529,0,0,0,0,0,0,0.0861474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282961,0,0,0,0,0,0,0,0,0,0,0,0.0863491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186648,0.0873988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
