0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,zero_each_row,zero_percentage
ENSG00000000419,0,0,7.80771,0,0,0,0,204.495,0,0,0,0,0,0,0,7.68981,27.0363,0,254.929,144.843,0,0,137.218,0,0,0,0,30.8963,92.2177,0,0,151.141,0,158.907,0,0,0,0,0,159.89,0,0,0,0,93.8153,0,235.261,0,0,0,0,143.107,0,0,286.261,0,0,136.046,0,0,0,134.913,0,0,102.884,113.017,0,0,0,118.099,127.008,0,144.981,110.102,0,0,62.1214,0,0,0,0,100.841,118.431,128.078,155.094,0,40.1341,0,0,537.307,216.328,0,0,37.7746,57.5937,47.5812,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7239,0,0,0,0,0,0,0,0,0,0,0,14.5853,0,0,0,0,0,0,411.458,0,0,0,47.2313,0,0,102.447,19.6776,95.8813,0,857.343,0,0,0,0,0,0,0,0,643.636,0,0,0,0,0,0,0,0,0,0,0,197.935,164.37,0,0,0,712.187,0,0,0,0,246.532,0,207.539,0,0,0,0,0,0,0,0,132,0.7213114754098361
ENSG00000002586,24.6584,0,55.4797,44.1613,0,4.83525,0,0,95.1674,53.0579,0,0,0,73.5879,90.6287,75.1328,93.0265,0,117.546,88.1826,35.2253,56.408,35.706,50.1672,0,89.0761,56.7097,65.2947,0,105.465,84.2455,43.5444,0,0,87,59.6435,0,80.2222,59.9796,46.9775,0,0,0,0,51.3264,0,118.416,65.6355,0,0,167.665,21.9502,99.9587,139.879,99.2518,139.121,28.7975,0,37.3604,113.608,108.89,216.375,57.676,169.025,59.4461,22.2456,84.5642,125.652,33.1016,90.0789,47.5935,88.6426,14.7351,90.7437,100.765,83.2479,127.396,167.259,105.832,200.714,60.5104,133.34,7.82879,55.3648,0,61.6545,6.95795,25.0248,38.0751,77.0012,0,10.3859,41.7781,76.5254,68.9666,0,0,137.878,45.6163,51.125,0,998.875,0,0,0,87.5932,0,0,237.42,40.5284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1968,75.0094,23.2797,287.652,0,0,0,0,0,0,2.07094,149.595,43.4495,0,73.809,0,0,0,72.1766,34.2393,0,0,0,0,0,0,0,263.364,0,951.732,0,30.1362,0,0,0,0,0,86.749,0,0,0,75.2676,0,432.089,72.2781,0,0,0,0,0,0,0,0,0,133.092,0,84,0.45901639344262296
ENSG00000002834,0,0,0,0,8.54906,9.77374,0,0,0,0,0,0,0,0,0,0,23.5995,0,42.785,0,48.7508,63.2722,0,0,0,0,38.3,8.25215,0,0,0,26.7527,0,0,57.766,11.5377,39.8768,50.8347,0,0,0,0,0,0,15.6694,11.9396,46.3506,0,16.7348,0,0,0,0,0,0,24.196,29.0191,0,5.77107,14.3198,0,79.6683,54.0155,0,0,32.4119,42.0149,0,0,0,0,0,0,0,31.4049,0,0,0,0,0,0,0,0,0,44.4593,51.7903,0,0,0,16.4398,0,0,11.8382,33.8232,85.7468,0,0,89.6023,62.8871,0,0,0,0,0,0,0,13.3797,0,0,9.80166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.146,0,28.5323,0,58.7457,0,0,0,0,0,0,0,36.2923,0,0,0,0,0,0,0,0,0,0,0,197.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9193,0,0,0,0,0,0,0,0,0,0,17.1774,6.29613,137,0.7486338797814208
ENSG00000003056,78.2393,0,72.542,0,70.3899,0,0,0,55.492,0,0,162.957,56.1323,0,40.2324,57.5441,80.1488,0,34.0678,2.0467,0,40.6525,0,0,63.661,54.5979,3.14729,0,36.078,0,0,0,0,0,41.3057,0,65.5244,59.841,0,0,0,0,0,0,0,55.9082,2.86747,0,0,78.0734,158.461,0,0,0,0,43.709,95.4371,29.9052,85.6073,7.30107,50.8023,0,0,4.53048,0,0,87.906,0,0,0,164.731,0,12.8118,0,0,1.74114,59.2679,0,24.9173,0,0,90.8856,0,0,0,140.399,166.973,0,0,32.6095,0,0,0,65.0997,38.4426,0,81.4935,0,127.037,83.7537,0,0,0,0,0,0,0,0,0,75.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.5097,0,0,0,0,0,0,0,0,44.5678,0,0,0,0,0,103.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7172,0,0,0,0,0,0,189.287,0,0,83.6942,0,0,0,0,0,0,0,0,74.4863,23.7021,127,0.6939890710382514
ENSG00000003402,12.9291,0,0,12.8144,5.47288,22.7441,0,0,25.3042,1.82643,0,8.74162,0,0,22.3186,10.0593,0.862926,9.93036,12.6646,1.9532,2.1204,9.16783,31.1476,10.5169,2.24459,0,0,0,0.434174,13.276,3.11559,6.97426,27.5406,10.973,0,0,0,0,0,25.4677,0,0,0,0,0,17.3562,9.56957,0.65419,0,0,0,1.60987,22.7215,0,0,0,0,0.589838,6.74353,0.240005,18.4039,0,1.07963,10.6602,3.82366,1.29133,6.75468,0,18.0686,0,18.2341,0,12.9624,3.15791,0,2.80784,3.52111,6.52756,2.1667,12.0541,1.6392,11.7021,0,0,0.542526,22.193,0,0,0,4.95901,2.85343,5.71162,23.2168,0,28.2681,13.9355,0,12.1675,0,0,0,0,0,0,0,34.1208,0,34.7314,16.1293,11.461,0,0,0,0,0,0,0,0,0,0,0,4.7137,0,1.73633,9.66499,0,7.06385,10.7855,14.2405,0,0,0,0,0,0,4.88491,0,0,24.5847,0,0,0,0,44.9535,0,0,0,0,7.11653,0,0,0,32.6904,0,0,0,14.6823,0,0,0,0,7.05123,32.2678,0,0,0,0,8.20339,61.4302,11.6237,0,0,21.835,0,0,0,0,0,0,1.7521,0,99,0.5409836065573771
ENSG00000003756,36.4873,0,22.2522,0,9.04304,92.3045,0,24.9818,39.6334,64.5282,25.6056,7.17857,0,43.2872,1.77371,56.8462,0,0,0,0,20.5982,60.4321,0,25.66,0,4.80481,31.7209,0,0,19.0057,5.75887,59.4266,0,0,0,0,6.43207,0,5.7322,0,0,0,0,0,9.00406,15.2559,10.0543,8.70677,0,18.6873,71.1681,47.2688,57.069,12.9824,24.8708,0,37.8737,20.1407,47.6765,0,20.3188,0,28.6007,8.10736,57.3508,0.748263,1.13664,69.3631,67.3142,13.6007,0,1.03371,0,0,18.3561,23.1968,21.2765,7.67416,30.5085,0,19.7317,0,6.34808,0,39.8956,20.3922,47.1632,17.0186,36.8449,13.6666,119.107,9.96867,0,34.9187,0,0,0,2.00655,15.3975,1.18489,0,0,0,0,0,2.35124,79.187,3.03153,15.4542,13.8641,0,0,0,0,0,0,0,0,0,0,0,26.5102,0,109.327,0,11.5068,0,32.1249,0,82.9814,0,0,0,0,0,40.1923,62.5748,0,0,0,0,0,0,44.0604,10.9841,0,0,2.34496,99.0647,40.2706,0,0,0,0,0,0,31.5193,77.6316,0,0,109.538,0,0,18.4195,0,16.63,45.8704,0,0,15.926,0,0,0,0,2.14475,0,0,0,33.6839,0,0,91,0.4972677595628415
ENSG00000004059,68.4739,0,0,140.536,276.642,92.05,140.89,0,0,113.491,0,0,15.6848,0,0,75.6518,53.8086,218.684,71.7631,75.9594,95.37,120.716,208.986,100.811,124.803,63.1581,0,128.309,0,0,54.3241,0,0,199.899,477.198,0,263.361,37.7024,0,59.2938,0,0,0,0,64.2171,61.3661,37.6257,41.8477,131.17,65.4326,138.386,0,84.0893,0,0,152.874,116.475,108.057,0,53.4639,0,0,124.468,150.022,0,220.452,133.092,0,68.6078,162.203,76.5252,140.804,52.0272,110.488,75.1439,73.9794,0,64.5218,3.33946,227.587,73.9386,0,135.763,224.59,0,0,17.8305,0,104.718,53.8866,0,74.5748,84.0743,0,0,0,0,0,0,252.243,0,0,0,0,0,0,20.7614,93.7206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.9226,11.3108,16.3964,0,0,0,0,0,0,0,0,0,68.1799,0,0,0,0,0,101.348,47.577,0,67.635,0,0,0,0,0,0,0,0,0,82.3607,380.386,0,0,0,0,0,136.032,0,0,0,0,105.376,117.9,0,0,0,0,0,0,0,0,0,98.9654,135.08,104,0.5683060109289617
ENSG00000004142,0,0,183.814,132.918,377.254,0,531.111,0,0,0,0,55.7903,5.92973,151.917,229.764,0,0,75.3959,0,0,251.503,200.364,203.714,0,0,0,0,0,0,176.093,30.9445,0,0,0,0,0,0,109.956,0,161.546,0,0,0,0,411.206,0,0,95.545,111.424,0,860.297,18.3824,242.628,65.8919,0,12.6709,0,143.652,0,126.446,0,83.7546,0,0,0,0,208.961,190.916,199.829,220.408,0,0,0,221.51,215.836,98.1846,0,0,78.249,173.311,0,0,69.3351,36.6568,0,0,0,0,0,94.0423,0,95.997,4.48978,154.825,0,170.044,184.288,0,245.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.135,117.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3684,128.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0.7213114754098361
ENSG00000004455,0,0,169.489,0,0,0,0,0,0,40.448,252.059,0,86.3793,0,37.6033,110.476,75.651,63.0181,84.0108,0,0,6.22698,0,0,13.4178,0,16.9512,0,114.257,0,0,3.1854,0,0,44.9647,37.5304,38.9442,0,91.2224,36.7245,0,0,0,0,73.3531,18.506,11.524,23.6437,0,26.2097,0,0,0,0,0,81.4515,0,77.8964,0,8.49725,54.1226,0,49.79,0,0,0,27.2875,77.7455,57.2467,0,15.3145,0,0,24.1422,0,38.6593,0,0,0,57.2817,63.1526,0,63.2082,23.2956,11.4573,0,0,0,0,14.7498,0,0,0,86.2466,0,0,0,10.8978,0,95.993,0,0,0,0,0,0,0,0,14.8633,36.2543,0,0,0,0,0,0,0,0,0,0,0,80.6167,0,50.3544,0,63.7521,0,0,0,0,0,0,0,0,0,0,0,90.8192,0,0,0,0,0,0,52.4823,0,0,0,0,0,0,0,0,0,0,0,26.7911,0,0,0,0,0,33.2219,0,0,0,19.9411,0,0,19.5967,0,0,0,0,0,0,0,0,0,98.3739,25.9465,124,0.6775956284153005
ENSG00000004534,22.8418,0,0,0,4.92496,0,1.03886,101.669,0,0,20.4508,0,23.9496,0,26.245,0,0,52.2654,0,9.12081,0,0,23.7439,16.9814,17.2453,76.235,14.7872,14.0444,21.2945,0,0,25.5474,0,24.9536,3.34642,19.4653,0,0,0,0,0,0,0,0,19.8873,24.9603,0,0,0,8.8932,43.4483,30.8573,34.71,0,22.0274,0,0,35.6168,0,0,5.32906,0,22.6791,0,0,0,0,0,0,0,15.5531,23.9102,0,21.5085,0,0,29.4661,104.004,29.5208,8.03319,9.71352,0,19.5763,0,0,11.9779,0,0,0,25.749,0,30.0073,32.845,0,0,0,5.17796,0,64.0572,0,0,0,0,0,0,104.606,0,0,6.46542,27.3408,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3006,0,30.2824,3.94151,0,35.9481,0,0,0,0,0,0,1.60876,0,27.1502,45.7972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.689,0,80.119,45.84,0,0,0,11.989,0,11.3065,0,0,27.9511,0,0,0,0,0,0,0,0,120,0.6557377049180327
